GitHub Line,Naran,Tetun,,,,,Tetun
247,presiza_kartaun_husu/pergunta,Lalika iha kartaun biblioteka?,,,,,
248,presiza_kartaun- botaun,Konfugura,,,,,
249,presiza_kartaun_kria,kria ka halo kartaun,,,,,
252,pesoals_titulu,pesoal,,,,,
253,pesoals_selesiona,Favor selesiona pesoal ezistente ou kria foun ida.,,,,,
254,pesoals_kria,kria,,,,,
255,pesoals_modifika,troka,,,,,
256,pesoals_favor_hatama,"Favor hatama ó nia naran, jéneru, no tinan moris.",,,,,
257,pesoals_naran_fatin,Naran,,,,,
258,pesoals_jeneru_mane,Mane,,,,,
259,pesoals_jeneru_feto,Feto,,,,,
260,pesoals_jeneru_la'os bináriu,La'os bináriu,,,,,
261,pesoals_selesaun_sala_jeral,Bainhira selesiona hela pesoal mosu sala ida.,,,,,
262,pesoals_kriasaun_sala_naran_uza- tiha ona,Naran ida ne'e uza tiha ona. Favor hili seluk.,,,,,
263,pesoals_kriasaun_sala_jeral,Sala ida mosu bainhira buka hela atu kria ó nia pesoal.,,,,,
264,pesoals_konta_selesaun_sala_jeral,Sala ida mosu bainhira koko atu selesiona konta ida.,,,,,
265,pesoals_konta_kriasaun_sala_jeral,Sala ida mosu bainhira koko atu kria konta ne'e.,,,,,
266,pesoals_konta_hamoos tiha_sala_jeral,Sala ida mosu bainhira koko atu apaga ka hamoos tiha konta.,,,,,
267,pesoals_interuptor,trokapesoal,,,,,
268,pesoals_troka_konfirma,Ó hakarak duni atu troka tiha pesoal?,,,,,
269,pesoals_apaga_konfirma,Ó hakarak duni atu apaga tiha pesoal ne'e?,,,,,
270,pesoals_apaga,Apaga pesoal,,,,,
271,pesoals_apaga_botaun,apaga/hamoos,,,,,
272,pesoals_kansela_botaun,kansela,,,,,
273,pesoals_tempu- besik -hotu ona,pesoal ida ne'e dadaun atu taka ona tan nia inatividade. Favor kaer iha tela se ó hakarak kontinua loke.,,,,,
274,pesoals_tempu- besik -hotu ona_titulu,pesoal Inatividade,,,,,
275, versoens - revizaun,foti sa'e,,,,,
276, versoens -versaun,Versaun,,,,,
277,pesoals_apaga/hamoos_sala,Sala ida mosu bainhira koko atu apaga/hamoos pesoal.,,,,,
278,pesoals_papel_inan aman,inan aman,,,,,
279,pesoals_papel_profesor/mestre,Profesor/mestre,,,,,
280,pesoals_papel_estudante/alunu,Estudante/alunu,,,,,
281,pesoals_papel_seluk,Seluk,,,,,
282,pesoals_husu_naran,Ó naran sá?,,,,,
283,pesoals_husu_jeneru,Ó nia jéneru sáida?,,,,,
284,pesoál_jéneru_seluk tan,seluk tan,,,,,
285,pesoal_husu_moris,Ó moris iha sá loron ?,,,,,
286,pesoal_husu_papel,Ó halo saida ..?,,,,,
287,pesoals_husu_pilotu_eskola,Is your school in an eLibrary pilot program?,,,,,
288,pesoals_kria_titulu,Kria A pesoal,,,,,
289,pesoals_modifika_titulu, Ó,,,,,
290,pesoals_pilotu_lae,Lae,,,,,
291,pesoals_pilotu_sim/loos,"Loos, ha'u nia eskola:",,,,,
292,pesoals_husu_grau,Ó  nia eskola tama iha grau ida ne'ebé?,,,,,
adisional,pesoalpájina,grau 1,,,,,
adisional,pesoal pájina,grau 2,,,,,
adisional,pesoalpájina,grau 3,,,,,
adisional,pesoal pájina,grau 4,,,,,
adisional,pesoal pájina,grau 5,,,,,
adisional,pesoal pájina,grau 6,,,,,
adisional,pesoal pjina,grau 7,,,,,
adisional,pesoal pájina,grau 8,,,,,
adisional,pesoal pájina,grau 9,,,,,
adisional,pesoal pájina,grau 10,,,,,
adisional,pesoal pájina,grau 11,,,,,
adisional,pesoal pájina,grau 12,,,,,
adisional,pesoal pájina,Preparatória,,,,,
adisional,pesoalpájina,Universidade,,,,,
